movie,sentence,score
녹색 광선,주인공의 우울한 감정을 따라가면서 나도 같이 그 감정을 따라가게 되었다. 주인공이 울 때마다 안아주고 싶었다. 그리고 영상미가 너무 예뻐서 여행을 가고 싶어졌다. 마지막 장면의 여운 때문에 신기하게도 계속 생각나는 영화.,8
그대가 조국,어처구니가 없네,1
그대가 조국,정치 선동,1
그대가 조국,이미 법의 판결이 완료된 어처구니 없는 영화.,1
그대가 조국,추악한 정치 선동물,1
그대가 조국,이런 영화는 만들지 말아야 됩니다.,2
닥터 스트레인지: 대혼돈의 멀티버스,재미는 있는데... 영상미도 엄청나긴한데.... 1편에 한참모자라는...,6
그대가 조국,다른 정치인들도 자녀들도 조국과 똑같이 수사에 들어가고 똑같이 법을 적용하면 그때나 국민들이 인정을 하지 않을까?,10
그대가 조국,아직도 이런 선동적 영화에 감동하는 무뇌아들이 있다니 슬프다. 이들에겐 지성이란 없는 걸까.,1
버닝,전종서 때문에 봤다. 영화는 무슨 뜻인지 모르겠다. 뭐 그런건 중요하지 않다.  영화 &amp;#39;곡성&amp;#39;이 생각났다.  오래전 미국영화 &amp;#39;아메리칸 뷰티&amp;#39;도 생각났다. 곡성에서는 호러의 낚시밥을 내가 물었다면 이 영화에서는 전종서 미끼를 덥썩 물었다.  맛있었다.  내가 개가 되어가는건지 물고기가 되어가는건지...,9
엽기적인 그녀,견우도 대단한 남자.2년을 참다니..평범한 남자들은 전지현 다리 잡고 늘어질 것.ㅋ  &amp;#34;그녀 &amp;#34; 는 전설로 남을 것..,10
그대가 조국,"보기전보다 보고나서 가슴이 더 답답하고 아무것도 할 수없는 소시민의 비애가 뼈저리게 와닿는 영화입니다.관람자의 입장에서도 이렇게 힘이 드는데 당사자들은 얼마나 고통스러울지 감히 가늠할 수 조차 없네요.잘 견뎌 주시기를 부탁드립니다.검찰 조사에 시달리다가 극단적 선택을 하신 분들의 심정이 정말 정말 이해가 되고 참고인 조사 받고 멘탈이 무너진 것 같은 광고회사 사장님과 동양대 교수님 제발 잘 견디고 극복해 주세요. 새날이 올 때까지, 진실이 밝혀질 때까지...",10
범죄도시2,액션도 좋고 재미 있긴한데 ... 초반에 억지 웃음... 1편과는 비교되는 비중없는 주변악당(?)들 .... 물론 메인빌런인 손석구 연기는 좋았습니다.,8
그대가 조국,쓰레기 찬양 영화.,1
"조제, 호랑이 그리고 물고기들",뭐야 이거. &amp;#39;조제 호랑이 그리고 물고기들&amp;#39;을 귀여운 그림체의 청춘물로 만든 애니라고 해서 얼마나 망작일까 기대도 안 했는데... 의외로 제대로 만든 작품이었네. 이런 재해석이라면 백번이라도 환영한다. 완성도를 결정하는건 귀여운 그림체가 아니라 이 애니의 깊이있는 네러티브였다.,10
에이리언: 커버넌트,프로메테우스 후속작이 나왔었다니.. 너무 재밌게 잘봤고 연기 지렸다,10
그대가 조국,이건 좀 아니네요 솔직히 인기투표 현장 같습니다,1
그대가 조국,1점도 아깝다.,1
이상한 나라의 앨리스,원작을 좋아함...,10
쥬라기 공원,그당시 국민학교때 영화관에서보고 엄청 충격받았던 영화,10
창극 변강쇠 점 찍고 옹녀,중립 기어를 박겠음,5
영주,향기와 냄새는 다른거임...방귀냄새 똥냄새 하수구냄새를 방귀향기 똥향기 하수구향기라고 하진 않음...향수향기와입냄새가 전혀 다르듯이...우리 냄새와(제발)구별 좀 해주세요.곰도리님,7
닥터 스트레인지: 대혼돈의 멀티버스,재밌긴했는데 같이간 부모님은 앞 내용들을 전혀 모르셔서 내용파악이 어려웠대요,8
범죄도시2,마동석의 이미지에만 의존하는 영화는 아니었구나,8
사랑할 때 버려야 할 아까운 것들,"잭 니콜슨, 다이앤 키튼의 명품연기로 꽤 그럴 듯한 중년 로코가 명작이 되었다.",9
혐오스런 마츠코의 일생,굿,10
히든,ㅆㅅㅌㅊ임 기대안햇는데 액션이 진짜 맛깔낫음,10
매스,대화로만 이어가지만 흡입력이 좋다!,8
방황하는 칼날,마약먹이고 강간살인인데 6개월 산단다 이게 우리나라 현실이네..영화보는동안 치가 떨리고 살이 떨리네 나참...,8
닥터 스트레인지: 대혼돈의 멀티버스,아주 재미 있었다 짱이였다,10
터미네이터: 다크 페이트,좀 식상했어요 그런대로 잼있게 봣습니다,7
범죄도시2,이렇게 재밌는 속편은 오랜만!,7
히든,"각본가의 잘 못인가, 감독의 잘 못인가",2
범죄도시2,마동석 액션 타격감 미쳤고 손석구 연기 존잘 두번보세요,8
경찰서를 털어라,화질도 괜찮고 긴장감 있지만 유쾌하고 OST가 흥을 돋운다.,9
범죄도시2,성난황소 나온다는 소문 듣고 왔습니다.,10
그레이트 뷰티,삶에서 가장 아름다운 건 삶 그 자체일지도,9
프레디 VS 제이슨,보통 콜라보 영화는 재미가 없는데 2003년에 나왔는데도 재밌음,8
젠틀맨 리그,아주 히어로물로 원작을 살려서 가던지 이것도 저것도 아님 영화 자체가 많이 구림 졸작도 이런 졸작이 없음 숀코너리 하나만 보다가 말았음,1
헌터 킬러,"잠수함&amp;지상 합동 작전의 긴장감과 몰입감이 역대급인 영화로 평점이 높은 이유가 다 있습니다. 러시아군의 연기부분이 좀 떨어지긴 하지만 버틀러와 미카엘니크비스트,게리올드만 등 명품연기는 대단합니다. 무개념 평론가들 점수는 무시하시고 보시길 강력 추천합니다. 붉은10월,크림슨타이드,유보트도 재미있지만, 헌터킬러 아주 재미있습니다. 마지막 구축함과의 전투씬은 몰입감 최고입니다.",10
범죄도시2,아 올만에 영화관 갔는데 너무 재밌었어요 ㅋㅋ,10
그대가 조국,정신병이 부끄러운 것은 아니지만 사회적으로 큰 부담이 되는 것도 사실이다. 5월 29일 기준 15만7천명의 관람객. ㅉㅉㅉ 내가 이런 영화를 보느니 차라리 성냥팔이소녀의 재림을 열 번 보고 말겠다.,1
범죄도시2,재밌게 봤습니다.,10
범죄도시2,너무 재밌었어요 정말…! 또 보고싶어요,10
범죄도시2,"정의에 불타는 형사, 극악무도한 악당, 쉴틈 없이 쏟아지는 액션.90년대 미국식 권선징악 영화의 전형인듯 하면서도 다분히 한국적인.",8
팜므 파탈,"브라이언 드 팔마의 특징이 고스란히 드러나는 촬영, 설정, 전개는 무난하게 볼 수 있지만, 영화의 결말은 다소 무리한다고 느껴지면서 생각만큼 만족스러운 감흥을 안기지는 못한다.",5
꼬마잠수함 올리,어린이 애니메이션이라고 해도 너무 단순하고 일차원적이며 얄팍한 캐릭터들의 모험은 재미가 없다.,4
타짜 전설의 땁,"“타짜”라는 이름을 영화의 제목으로 사용한다는 것이 민망할 정도로 완성도가 낮고, 오지호는 맨날 똑같은 연기를 지겹게도 반복하며, 짧은 러닝 타임도 한없이 지루하게 느껴진다.",1
이스케이프 플랜,긴장감을 주는 연출이 괜찮네.,7
정말 먼 곳,영화 좋다. 너무나도 오래된 우리들에 대한 질문이다. 이젠 자문은 그만하고 자답을 할때가 왔다. 다만 사운드디자인 그리고 사운드믹싱이 너무 않좋다.,7
범죄도시2,핸드폰 만지작 거리는 개념 없는 불청객 떄문에 명장면/명대사 놓쳣다 손!!!,10
프랭크,누구에게나 프랭크는 존재한다.  그러나 나역시 누군가에게 프랭크가 될수있음을...,8
닥터 스트레인지: 대혼돈의 멀티버스,정신없어서 잘 모르겠고 완다랑 닥스가 제일 열일한 만큼 둘이 빛나서 좋아요 시체닥스 장면이 기억에 남네요,8
나이트메어 앨리,좋아하는 감독이지만 이 영화는 개인적으로 별로였음. 시작하고 30분 지나니까 영화가 무슨 얘기 하고 싶은건지 결국 어떤 결말로 끝날지 다 예상 가더라. 그렇다면 과정이 좀 흥미로워야 하는데 다소 지루했음,6
범죄도시2,강해상 연기가 장난이 아니다 손석구가 말한대로 울분을 주체를 못하는 연기 그러면서 지 멋있는거 잘아는 ㅋㅋㅋ 재밌었따 강추 ㅋㅋㅋㅋ,10
배드 가이즈,주토피아가 생각날 정도로 비슷한 주제의 스토리지만... 스타일리쉬한 그래픽과 애니메이팅이 너무너무 좋았어요,8
중경삼림,더 할말이 있읍니까?,8
닥터 스트레인지: 대혼돈의 멀티버스,기대와는 다르게 매우 실망,4
닥터 스트레인지: 대혼돈의 멀티버스,연기 천재들...완다야 완다야..~ 완다비전 보고가길 잘했다,8
콜드 스킨,무슨 엄청난 블록버스터 대작 원한거 아니면 이정도면 볼만함 요즘 쏟아지는 몇명이 급조해서 만드는 B급영화같은 수준이 아님. 5점이하 받을정도도 아니고,7
그대가 조국,검찰 공화국 시대에 진실을 알릴수 있는 영화,10
로보캅,그래도 80년대 로보캅이 좋다!,9
범죄도시2,재밌게 잘봤습니다 추천해요!,10
용과 주근깨 공주,이 스토리의 배경은 복잡하고 신비로와 좋았는데 풀어나가는 방법을 보는게 너무 어렵네요. 그러나 심혈을 기울인 것 같은 뮤직비디오가 너무 멋있고 좋은 기분을 들게 합니다.,8
닥터 스트레인지: 대혼돈의 멀티버스,역시 닥스는 내취향이아니군...,6
"아치의 노래, 정태춘",정태춘 시대를 겪지 않아서 모르지만 그의 음악적 사고는 존중한다,10
오마주,이정은 배우는 보면 볼수록 좋아짐,10
범죄도시2,그냥 오락용으론 최고인 영화,9
스파이더맨: 노 웨이 홈,보다가 유치해서 나옴,1
스파이더맨: 노 웨이 홈,보다가 유치해서 나옴,1
닥터 스트레인지: 대혼돈의 멀티버스,4d로 보니까 괜찮았어요 스토리는 그냥그래요,8
범죄도시2,ㄱㅊ 어른들 보여드렸는데 3명중 2명이 재밌다하심,7
더 배트맨,배트맨 오랜만에 보는것같은데 볼만했어요,8
닥터 스트레인지: 대혼돈의 멀티버스,배우들의 연기가 엄청난 영화 하지만 감독은 나랑 안맞음,8
범죄도시2,시원 상쾌 통쾌,9
리턴 투 파라다이스,해방일지 성지 순례. VOD 서비스가 안되는 건 아쉬운 건가 다행인 건가.,10
내 마음의 풍금,잔잔하고 순수한 느낌의 영화였다. 굉장한 빅재미를 주지는 않지만 그냥 소소한 행복을 느끼게 만든다. 시대상도 매력있었고 배우들의 연기도 좋았다. 스토리는 정말 단순했는데 그냥 옛날의 소박하고 풋풋한 모습이 좋게 느껴졌다. 요즘 영화에서는 느끼기 힘든 감성을 느낄 수 있어서 좋았다.,7
그대가 조국,한국 민주주의의 현 위기에서 잊혀져서는 안될 매우 중요한 기록입니다.,10
좋지 아니한가,가려지지 않는 김혜수의 미모가 유일한 옥의 티라면 옥의 티인 아주 재미있는 영화..^^,9
쓰리 빌보드,"기대했던 결말이 나왔는가? No 그럼에도 결말이 완벽했나? Yes / 딸의 강간을 소재로 한 영화는 많았지만 이 영화의 전개는 완전히 새로웠다, 분노는 더 큰 분노를 낳는다",9
범죄도시2,이 영화보면서 얼마나 속이 시원하던지 재밌습니다~,10
닥터 스트레인지: 대혼돈의 멀티버스,5년의 기다림에 비해선 상당히 실망,7
시티 오브 갓,빈민가가 무법지대에서 일어난 실화극을 이렇게 무게감 있고 실감나게 만들줄이야 치한이 좋은 우리나라에서 태어난게 엄청난 행운 인것 같다,9
닥터 스트레인지: 대혼돈의 멀티버스,호러연출 재밌었어요!!정말 대혼돈 그 자체인 것 같습니다 ㅋㅋㅋ,8
닥터 스트레인지: 대혼돈의 멀티버스,재미있게 봄,9
유체이탈자,초반 소재는 흥미로웠다가 초반 소재만 흥미로움... 너무 뻔한 전개에 뒤가 궁금하지 않은 서사. 그마저도 너무 예상대로 흘러가서 존윅이 연상되는 총기 액션 말고는 딱히 남는게 없던 영화.,3
써니,90년대 일본문화의 전성기는 그 당시 우리나라의 젊은 사람들에게도 비슷한 향수를 불러일으키네. 중국판 써니도 있고 다른 나라 써니도 있지만 일본판 써니가 가장 재밌네.,9
닥터 스트레인지: 대혼돈의 멀티버스,마블에서 이렇게 나올수 있다는게 신선했어욤 !!,10
도니 브래스코,"알 파치노, 조니 뎁의 작살나는 연기와 실화 바탕으로한 마피아와 잠입 수사관의 우정과 안타깝고도 약간은 아쉬운 마무리까지 최고였다..",9
코코,언젠가 아이가 태어난다면 함께 보고 싶은,10
닥터 스트레인지: 대혼돈의 멀티버스,"5/5한돌링롯데시네마에비뉴엘:대혼돈의멀티버스 거리두기_백신의무접종_집합금지_시간제한_코로나19와 관련된 모든 것이 풀렸다. 한도리와 간만에 명동 거리를 거닐고(와 명동에 사람들이 이렇게나 많아지다니!? 기념으로 씨앗+계란빵 구매) 새로 생긴 커피빈 명동거리점에 앉아 블랙 다이몬 아이스커피 냠냠~ 하면서 skt VIP 예매! 몇년 만에 롯데시네마인가ㅋ 작년12월 삼스파이더맨 이후 개봉한 ☆닥터스트레인지2☆ 너무 오랜만에 개봉한 속편이었지만 하도 마블 영화마다 매년 등장했던 닥스라 그런지 뭐 또 반갑다 정도? 다만 샘 레이미 감독의 B급 호러 연출들 때문에 중간중간 당황스럽긴 했다ㅋ_ㅋ 감독님! 이거 마블영화에요~ 아주 내가 만들었다고 이렇게 광고 안 하셔도 되는데~♪ 사실 공포/스릴러 모두 좋아하지만 누군가에게는 불편한 연출이었을 수도 있겠단 생각이 든다. 본격적인 멀티버스 세계관의 시작인지라 여러 행성의 닥스가 출연한다. 닥스끼리의 대결에서 서로 음표를 만들어 미친듯이 날리는~♬♬♬♬ㅋㅋㅋ아 감독님~왜이러세욧~증말^-^;;; 솔직히 그 장면에서 엄청 웃었습니다^_^ㅋ 완다비전/로키/왓이프 등 이거 보기 전에 디즈니+로 보고 가야 된다 했지만 아무것도 못 봤다!! 그렇지만 우린 삐맨의 유튜브 요약본으로 12분만에 완다의 과거를 들여다 볼 수 있었다. 바야흐로 6년전. 16년10월29일_ 홍빵구랑 그래도 얼굴 보려고 했었는데 타이밍이 안 맞았는지 집 앞에서 기다리다 화딱지 나 혼자 CGV 성신여대입구에서 닥터 스트레인지1을 봤던 기억이..닥스&amp;웡이 도루마루랑 막 싸웠던 기억이 나네..(그 이틀 전, 세이굿바이&amp;크린토피아) 22년의 시작은 오래 함께해 왔던 정원,수진,이응이의 이탈로 많이 힘들었다. 3월에 갑자기 찾아 온 무기력증과 우울증으로(이상하다. 승희,민채 나갔을 때도 이러진 않았는데, 예전 애들과 함께 즐거웠던 생각만 계속 나면서 ~_~) 정말 힘들고 의욕도 없었다. 지금 생각하면 오미크론 때문이었던걸지도 모른단 생각도 든다. 지금은 열심히 살고 있다:)",8
범죄도시2,부담없이 즐길 수 있는 영화라서 다음 시즌도 기다려져요.주조연 모두 연기를 잘하셔서 더욱더 몰입할 수 있었습니다.다음 빌런은 또 누구일지....,9
범죄도시2,타격감에 설득력이 최고다 ㅋㅋㅋㅋ,10
범죄도시2,기대만큼 재미있구만!,10
이레이저,지금보면 조금은 유치하고 어설프지만 그래도 당시엔 꽤나 잘만든 액션 영화..,7
닥터 스트레인지: 대혼돈의 멀티버스,CG가 너무 티나고 b급 호러물. 닥스 솔로무비는 왜 항상 재미가 없는건지. 완다 캐릭터도 마음에 안 들었다. 완다의 행동은 이해받기 어려움. 그리고 걍 재미가 없음,4
범죄도시2,강해상쭈아,8
피는 물보다 진하다,아니 삼류가 아니라 사류인데? 최근 영화중엔 역사에 남을 만큼 ㅆㄺ 영화. 무료로 보다가 20분도 안되서 나온거 같다. 이걸 보려고 쓴 교통비와 시간이 아깝다. 이 영화의 유일한 아이덴티티가 액션일텐데 액션마저도 형편 없었다. 어떻게 첫 장면에 나오는 액션이 관객들한테 강렬한 인상을 줘야 하는데 그것마저 이렇게 허접하게 나온다고? 용산CGV에서 보는데 영화가 문제인건지 영화관이 문제인건지 소리 엄청 크고 불쾌하게 소리가 깨져 나온다. 아니 어느 것 하나 좋은게 없는데 어떤 점이 좋았는지 감상포인트 강제 추천하래.,1
닥터 스트레인지: 대혼돈의 멀티버스,기대에는 살짝 못 미쳤지만 재밌어요!!,8
범죄도시2,너무 재밌어요 추천합니다,10
앵커,기대보다 훨씬 재밌었어요,7
로스트 시티,나름 흥미롭게 봤어요~!!,7
데블,뭔가 너무 억지로 엮을라고 해서 이상하게 산만한데. 소재는 괜찮았음. 진짜 엘베만큼. 폐쇄적이면서 섬뜩한 공간도 딱히 없긴하다.,8
범죄도시2,액션씬이 속이 뻥 뚫려요!!,8
안녕하세요,"와씨,  이게 저예산이라고? 순재할부지가 그러던데. 작다고.. 40~50억영화 반성해라!솔직히  누구나 알수있는 내용같지만  누구나 알지 못하는 내용이다 이거.  감사하다.이 영화 살리자~~ 곧 내리 겠지만. 정말 좋은데♡",10
오마주,재밌게 잘봤습니다. 60-70년대 풍경도 잠깐 보여줘서 그 시대에 태어나지도 않았지만 반가웠음. 근데 마지막 엔딩에서 나왔던 그 노래는 누구 노래인가요? 알고 싶은데 아무리 찾아봐도 모르겠네요ㅠ,9
그대가 조국,이야 심하다. 어용영화도 이런 어용영화가 없구나. 아직도 우리 세금으로 월급 공짜로 타가는 사람 아닌가? 서울대 동문들이 꼽은 가장 부끄러운 동문이라 했던 양반인데...대깨문말고는 이 영화 보긴 볼까 싶네.,1
닥터 스트레인지: 대혼돈의 멀티버스,약간 우울하긴 하지만 재미있게 봤습니다.,8
300: 제국의 부활,에바그린이 매혹적이었음,7
신비한 동물들과 덤블도어의 비밀,해리포터 찐팬분들 정도나 볼만하지 않을까 싶습니다.진짜 정으로 봤습니다. 이번 편은ㅠㅠ,6
범죄도시2,1편보다 잔혹한 건 덜 한데 재미는 더 있다고 생각합니다 ㅋㅋㅋ 성공한 속편이라는데 동의 ㅋㅋ,9
범죄도시2,1편 못지 않게 재밌었음,10
그대가 조국,"광화문 광장에서 촛불 들었던 것을 가장 후회하고 있는 1인으로, 언제까지 자신들만의 잣대로 내로남불을 외치는지 두고보겠다.. 참여연대도 문재인 정부가 &amp;#39;검찰개혁&amp;#39;을 외치면서 오히려 검찰을 정치적으로 이용해 특수수사를 일삼았던 행태를 고발했다.. 조국은 희생당한게 아니라, 스스로 불타버린거다..",1
페어 러브,꽤 괜찮은 멜로영화.. 대사들이 생각할 거리도 던져준다,8
그대가 조국,얼척없넼ㅋㅋ,1
닥터 스트레인지: 대혼돈의 멀티버스,믿고 보는 마블 영화! 이번에도 너무 재밌게 잘 봤습니다ㅎㅎ 멀티버스를 확실하게 각인시켜준 영화인듯해요 :),9
닥터 스트레인지: 대혼돈의 멀티버스,용아맥에서 보고 싶다,8
범죄도시2,"적절한 유머, 몰입감 좋은 스토리, 그리고 빌런에 대한 참교육",10
"장화, 홍련",지켜줄게 이 말이 생각나서 아프다.. 미장센이 매력적인 흔히 공포 영화로 알려진 영화들과는 차원이 다른 아름다운 고품격 영화.,10
닥터 스트레인지: 대혼돈의 멀티버스,약간 호러물이지만 닥스의화려한 마법과 완다의 서사가 좋았다,9
닥터 스트레인지: 대혼돈의 멀티버스,정말 재미있었어요 호러가 약간 섞인 mcu영화는 처음이라 더 재밌었던거 같아요 ㅎㅎ,10
그대가 조국,내로남불,1
유니버셜 솔저,그 유명한 장글로드반담의 젊은시절 영화를 봤네. 하사역으로 나온 스웨덴 배우도 근육질 몸매가 후덜덜하네. 운동자극영상으로 손색없고 92년식 영화인데도 스릴충만 액션충만하다,8
히든,댓글들 보니 영화는 안봐도 될듯... 팬까펜가?,1
리턴 투 파라다이스,창희가추천했으니 봐야하는데어디서볼수있나요?,9
범죄도시2,기대 이상이었음,8
친구,준석이는 동수를 죽이라고 한적 없다,10
매스,"아무리 그래도 가해자, 살인자를 이해할 수 없다 총기 사건의 살인마를 어떻게 이해하란 말인가",10
세븐틴 파워 오브 러브 : 더 무비,평캐를 외치게 되는 영화,10
범죄도시2,누가 5야? ㅋ,10
닥터 스트레인지: 대혼돈의 멀티버스,음. 바로전 스파이더맨 노웨이홈이.. 더 재미있었따...,7
범죄도시2,잔인한면은 약간 나오구요 그외에는 코믹과 액션이 적절히 석여있습니다. 킬링타임으로 보기에 굉장히 좋아요  여자친구가 너무 재미있다고 하더라구요,9
닥터 스트레인지: 대혼돈의 멀티버스,"마블의 공장식 영화의 한계를 아주아주 적나라하게 드러난 영화. 마블 팬에겐 캐릭터 설정 붕괴를, 일반 관객에겐 개연성 없는 뜬구룸 전개를 보여주었다. 감독 코멘터리에선 이전작품과 제작 시기가 맞물려 캐릭터 공부가 부족했다고 하는데 이것까지 포함해 영화제작방식의 문제점을 다시 한 번 보여줌. 그리고 캐릭터 이용을... 하...(욕을 빼고 쓸 수가 없다)",2
범죄도시2,재밌긴 했는데 생각보다는 별로였어요.,8
닥터 스트레인지: 대혼돈의 멀티버스,마블스러움이 덜어져서 조금 아쉬웠다,7
레저렉션,이 영화를 세븐에 비유한 이는 어느정도 수준인지.. 평점5점정도의 수준이하의 졸작.. 높게 평가한 자들 정신차리라고 2점을 ...,2
범죄도시2,액션 시원시원합니다~ㅋㅋ 이대로만 쭉 나와주면 최고의 시리즈가 될 거 같습니다 ㅋ,9
호스텔,잔인함만 있고 카타르시스가 없음,1
바람이 분다,작품은 작품으로만 봐야 하지만 당시의 시대상 묘사를 위해 욱일기나 일장기가 나오는건 불편하기는 하다. 좀 지루하기는 하지만 한 사람의 열정과 인생 표현이나 작화는 진지한 지브리 작품으로 보기에 괜찮음.,6
범죄도시2,리얼한 캐릭터에 타격감도 일품,9
닥터 스트레인지: 대혼돈의 멀티버스,기본정보 없이 관람한 탓에 호러물이란 걸 뒤늦게 알고 깜짝 놀랐지만 그만큼 재미있었음.,8
범죄도시2,개인적으로 범죄도시1보다 많이 웃었어요 속편은 원래 기대안하눈데 이건 짱인듯,9
범죄도시2,마동석의 힘을 잘 보여주는 사운드 연출이나 빌런 중심의 원테이크가 인상적이었습니다.,10
강호아녀,강호의 의리와 순정이 사라진 중국사회 풍경. 홍콩 느와르를 뒤집는 중국의 지아장커 느와르(이자 멜로).,8
범죄도시2,장첸 만큼의 긴장감은 아니지만.. 역시 손석구.. 연기 참 잘해!!,9
닥터 스트레인지: 대혼돈의 멀티버스,스칼렛 위치를 위한 영화,7
더 노비스,내가 만족하면 된거야! 성취욕이 인간의 도전 정신을 이끌어내다...,8
범죄도시2,여성배우가 한명만 나와서 아쉬워요 다음 시리즈가 기대됩니다,8
닥터 스트레인지: 대혼돈의 멀티버스,연기가 개연성...,6
그대가 조국,검찰 후려치는건 서슴치않는 분들이 경찰 후려치는 영화는 못만드는 현실. 진짜 이중성 하난 알아줘야함. 경찰비리가 많을지 검찰비리가 많을지는 지들이 더 잘알겠지,1
더 노비스,"현재 언급되고 있는, 연상된다는 그 두 영화에 퀄리티적으로는 미치지 못하지만 그럼에도 색다른 소재로 강박과 심리를 잘 묘사한다.",6
그대가 조국,죄인이 영화 주인공이 되는 영화는 많았다. 그런데 이렇게 까지 죄인을 영웅으로 포장하는 영화는 전세계에 없다.,1
타오르는 여인의 초상,다시 생각해보니 더 좋아지는 영화,10
해리 포터와 불사조 기사단,언제봐도 재밌는 해리포터 시리즈!,10
아사코,"여주인공은 사실 한 남자를 사랑했을 뿐, 그러나 두 남자가 닮았을 뿐, 우리는 그걸 불륜이라 칭했을 뿐..",8
"조금씩, 천천히 안녕",이별을 통해 가족이란 무엇인가 일깨워주는 영화,8
드라이브 마이 카,인생을 운전하느라 미처 보지 못했던 지나친 길들은 구불구불 굽어져있다.,9
닥터 스트레인지: 대혼돈의 멀티버스,대체 스토리를 어떻게 확장 하려고 이렇게 혼란하게 만드는 건지.,10
해리 포터와 불사조 기사단,세계관 흑화의 시작,8
리턴 투 파라다이스,도망간 놈은 현아냐,9
그대가 조국,누구든 봐야 해요~~,10
안녕하세요,별 기대를 안하고 본 영화였는데 최고의 힐링되는 감성 영화를 보고 나왔네요,9
신비한 동물들과 덤블도어의 비밀,의리로 3편까지 봤으니까 완결 꼭 내줘 여기까지 온 거 끝까지 봐야겠어,6
범죄도시2,1편에서의 재미있었던 대사/상황을 억지스럽게 이어간 느낌..뻔히 예상됨.,8
범죄도시2,액션이 참 재밌었어요,10
야차,영화 재밌습니다.,10
리턴 투 파라다이스,진짜 구씨로 설렜다가 창희로 끝난 해방일지!! 근데 이 영화 어디서 봐요? 다 뒤져봐도 없는뎅 ㅜㅜ,10
그대가 조국,내가 대한민국에 살고있고 앞으로도 살아야한다는 사명감으로 본 영화입니다.가슴 막막하고 슬퍼서 영화를 보는 내내 힘들었습니다.좋은 답이 나오기를 바랬으나 아직도 진행중인 영화입니다.진행중이기 때문에  더 많은 분들이 보시기를 바랍니다우리의 대한민국에서 잘 살아가기위해서~,10
그대가 조국,죄를 지으면 벌을받는게 세상에 이치라더라,1
범죄도시2,원래 영화는 빌런이 나오면 주인공이 어떤 방법으로 쓰러뜨리고 혹시라도 주인공이 어렵게 이기지 않을까 싶은 긴장감을 가지고 가게 마련인데 마형사님과  악당들 사이엔 긴장감 같은 건 없습니다. 통쾌함만 남을 뿐이죠. 다음편엔 더 악랄한 빌런이 나와서 처참하게 부셔지길 바랄뿐입니다.,9
아수라,"허약한 각본, 피만 낭자",5
보스톤 교살자,"그저 그런데 평점이 왜이래???  영화제 상도하나 없구만,,",2
범죄도시2,너무 재미있게 봤습니다..ㅋㅋㅋㅋ 코믹 스릴 다 갖췄어요마동석 짱,10
범죄도시2,잔인한 장면이 꽤나 많아 보기 힘들었지만...마요미 동석님과 출연진들의 열연은 좋았습니다.시간 가는줄 모르고 재미있게 봤고요..근데...15세이상 관람가이기엔 폭력적인 장면이 넘 많은듯 하여 걱정이 됩니다.,9
이상한 나라의 수학자,뻔한 결말에 수준이 낮은 단발성 영화인데 최민식 배우가 억지로 끌고가는 형국. 보통 단발성 영화는 한번 보고 나면 다시 보고싶지 않아 진다. 배우에 의지해서 이 한 편을 겨우 완주했다. 최민식 배우 자체로 Q.E.D. 다른 한 편으로 누군가에겐 정말 뼈가 되는 교훈이 들어 있긴 하다.,1
닥터 스트레인지: 대혼돈의 멀티버스,배우들의 연기력이 아니었다면 보지 않았을...너무 기대를 했나봅니다,1
범죄도시2,손석구 연기는 최고였습니다.,10
